pollster,mean_sample_size,weeks
Gravis,3092,5
LA Times/USC Tracking,2850.9,10
LA Times/USC,2299,5
Gravis*,1977.6666666666667,3
Pew Research,1887.5,2
MSNBC/Telemundo/Marist,1737.5,2
ABC/Wash Post Tracking,1485.6666666666667,3
Reuters/Ipsos,1382,24
Quinnipiac,1351.8823529411766,17
CBS News/NY Times,1258.2,5
Associated Press-GfK,1231.5,2
CBS News,1175.2857142857142,7
PPP (D),1157,12
Economist/YouGov,1140.7727272727273,22
FOX News,1014.5217391304348,23
IBD/TIPP Tracking,1013.6666666666666,3
GWU/Battleground,1000,1
Rasmussen Reports,1000,15
USA Today/Suffolk,1000,7
